merchant,provider,problem_type,reason,recommended_manual_action
Vrbo,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
FIGS,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Five Below,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Five Below,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
1-800-flowers.com,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
1-800-flowers.com,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Funko,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Funko,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Funko,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Funko,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Funko,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Fossil,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Fossil,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Fossil,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Fossil,Zip,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Fiverr,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Fiverr,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Athleta,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Athleta,Klarna,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Athleta,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Athleta,Afterpay,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Athleta,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Athleta,Sezzle,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Athleta,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Banana Republic,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Banana Republic,Klarna,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Banana Republic,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Banana Republic,Afterpay,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Gap,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Gap,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Gap Factory,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Gap Factory,Afterpay,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Gap Factory,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Gap Factory,Sezzle,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Gap Factory,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Old Navy,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Old Navy,Affirm,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Old Navy,Affirm,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Old Navy,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Old Navy,Klarna,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Old Navy,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Old Navy,Afterpay,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Old Navy,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Old Navy,Sezzle,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Old Navy,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
GameStop,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
GameStop,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
GameStop,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Canada Goose,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Canada Goose,Affirm,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Canada Goose,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Canada Goose,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Georgia Power Company,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Georgia Power Company,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
GoPro,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Garmin,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Groupon,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Groupon,Affirm,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Groupon,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Goodyear Tire,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Goodyear Tire,Affirm,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
The Home Depot,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
The Home Depot,Affirm,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
The Home Depot,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
The Home Depot,Klarna,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
The Home Depot,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
The Home Depot,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
The Home Depot,Zip,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
The Home Depot,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
The Home Depot,Zip,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
The Home Depot,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
The Home Depot,Sezzle,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
The Home Depot,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Harley-Davidson,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Harley-Davidson,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
HP,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
HP,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
HP,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Invitation Homes,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Invitation Homes,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
J. Jill,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Kohl's,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Kohl's,Affirm,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Kohl's,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Kohl's,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Kohl's,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Kohl's,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Kohl's,Zip,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Kohl's,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Kohl's,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Lands' End,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Lands' End,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Lands' End,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Light in the box,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Light in the box,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Light in the box,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Light in the box,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Lemonade,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Lemonade,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Logitech,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Logitech,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Logitech,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Logitech,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Lovesac,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Lovesac,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Lowe's,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Lowe's,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Lowe's,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Lowe's,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Lowe's,Zip,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Lowe's,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Lowe's,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
lululemon,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
lululemon,Affirm,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
lululemon,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
lululemon,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
lululemon,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
lululemon,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
lululemon,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
lululemon,Zip,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
lululemon,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
lululemon,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bloomingdale's,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bloomingdale's,Affirm,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bloomingdale's,Affirm,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bloomingdale's,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bloomingdale's,Klarna,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bloomingdale's,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bloomingdale's,Zip,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bloomingdale's,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bloomingdale's,Zip,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Macy's,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Macy's,Affirm,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Macy's,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Macy's,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Macy's,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Marriott,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Marriott,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Microsoft Store,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Microsoft Store,Klarna,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Converse,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Converse,Klarna,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Converse,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Converse,Zip,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Converse,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Converse,Zip,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Nike,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Nike,Affirm,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Nike,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Nike,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Nike,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Nike,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Nike,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Nike,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Nelnet,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Nelnet,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
NVIDIA,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
